uoa_site,scientific_name,common_name,native,introduced,threatened,category,observed_on,quality_grade,latitude,longitude,observer,project_id,observation_id,url
UoA City Campus,Miomantis caffra,South African Mantis,False,True,False,Insecta,2025-03-18,research,-36.8511048855,174.7720098495,isabelle797,biota-of-university-of-auckland-city-campus,265798751,https://www.inaturalist.org/observations/265798751
UoA City Campus,Balta bicolor,,False,True,False,Insecta,2025-03-24,research,-36.8509236615,174.7704491095,tjac444,biota-of-university-of-auckland-city-campus,266686540,https://www.inaturalist.org/observations/266686540
UoA City Campus,Clitarchus hookeri,Smooth Stick Insect,True,False,False,Insecta,2025-03-28,research,-36.8497305556,174.7704777778,nbir012,biota-of-university-of-auckland-city-campus,267298044,https://www.inaturalist.org/observations/267298044
UoA City Campus,Ficus macrophylla,Moreton Bay fig,False,True,False,Plantae,2025-04-01,research,-36.84988,174.76883,simcockr,biota-of-university-of-auckland-city-campus,268347790,https://www.inaturalist.org/observations/268347790
UoA City Campus,Phoenix canariensis,Canary Island palm,False,True,False,Plantae,2025-04-08,research,-36.8509251331,174.7716454044,jw_nz,biota-of-university-of-auckland-city-campus,269243036,https://www.inaturalist.org/observations/269243036
UoA City Campus,Cyclocybe parasitica,Tawaka,True,False,False,Fungi,2025-04-09,research,-36.8507810626,174.7715367749,rmull123,biota-of-university-of-auckland-city-campus,269405271,https://www.inaturalist.org/observations/269405271
UoA City Campus,Corynocarpus laevigatus,Karaka,True,False,False,Plantae,2025-04-06,research,-36.8533141997,174.7712117,katie_dowle,biota-of-university-of-auckland-city-campus,269510807,https://www.inaturalist.org/observations/269510807
UoA City Campus,Prosthemadera novaeseelandiae,Tūī,True,False,False,Aves,2025-04-07,research,-36.849230027,174.7709760586,shepybara,biota-of-university-of-auckland-city-campus,269718710,https://www.inaturalist.org/observations/269718710
UoA City Campus,Piper excelsum,Kawakawa,True,False,False,Plantae,2025-04-13,research,-36.8506133333,174.76918,colemama,biota-of-university-of-auckland-city-campus,270273160,https://www.inaturalist.org/observations/270273160
UoA City Campus,Hypnum cupressiforme cupressiforme,Cypress-leaved Plait-moss,False,False,False,Plantae,2025-04-07,research,-36.8495346889,174.7707706278,shepybara,biota-of-university-of-auckland-city-campus,270345897,https://www.inaturalist.org/observations/270345897
UoA City Campus,Dasypodia cymatodes,Northern Wattle Moth,False,True,False,Insecta,2025-04-16,research,-36.8519283333,174.770155,angieandtheants,biota-of-university-of-auckland-city-campus,270742547,https://www.inaturalist.org/observations/270742547
UoA City Campus,Lampropholis delicata,Dark-flecked Garden Sunskink,False,True,False,Reptilia,2025-04-15,research,-36.8508952997,174.7709300997,rishud,biota-of-university-of-auckland-city-campus,271359927,https://www.inaturalist.org/observations/271359927
UoA City Campus,Ipomoea indica,oceanblue morning glory,False,True,False,Plantae,2025-04-22,research,-36.85487,174.768495,lizziesz,biota-of-university-of-auckland-city-campus,272128980,https://www.inaturalist.org/observations/272128980
UoA City Campus,Abortiporus biennis,Blushing Rosette,False,True,False,Fungi,2025-04-23,research,-36.8496799999,174.7699960278,aucklandgnome,biota-of-university-of-auckland-city-campus,272407450,https://www.inaturalist.org/observations/272407450
UoA City Campus,Lacrymaria lacrymabunda,weeping widow,False,True,False,Fungi,2025-04-23,research,-36.8496247275,174.7699992432,aucklandgnome,biota-of-university-of-auckland-city-campus,272407949,https://www.inaturalist.org/observations/272407949
UoA City Campus,Leucocoprinus cepistipes,onion-stalk parasol,False,True,False,Fungi,2025-04-23,research,-36.8497551224,174.7716678679,kizzie1,biota-of-university-of-auckland-city-campus,272577820,https://www.inaturalist.org/observations/272577820
UoA City Campus,Pholiota gummosa,sticky scalycap,False,True,False,Fungi,2025-04-23,research,-36.8493870254,174.7710556537,kizzie1,biota-of-university-of-auckland-city-campus,272614319,https://www.inaturalist.org/observations/272614319
UoA City Campus,Lacrymaria lacrymabunda,weeping widow,False,True,False,Fungi,2025-04-23,research,-36.8493819278,174.7708306834,kizzie1,biota-of-university-of-auckland-city-campus,272614708,https://www.inaturalist.org/observations/272614708
UoA City Campus,Myrsine australis,Māpou,True,False,False,Plantae,2025-04-25,research,-36.855939,174.7667921,sabecker,biota-of-university-of-auckland-city-campus,272849301,https://www.inaturalist.org/observations/272849301
UoA City Campus,Paraserianthes lophantha,Plume Albizia,False,True,False,Plantae,2025-04-25,research,-36.854125,174.7701366667,sorceras,biota-of-university-of-auckland-city-campus,272893674,https://www.inaturalist.org/observations/272893674
UoA City Campus,Muehlenbeckia complexa complexa,Small-leaved pohuehue,False,False,False,Plantae,2025-04-26,research,-36.8512138099,174.7693122178,localnaturespotter,biota-of-university-of-auckland-city-campus,273499033,https://www.inaturalist.org/observations/273499033
UoA City Campus,Turdus merula merula,Western European Blackbird,False,True,False,Aves,2025-04-14,research,-36.8491259155,174.7697789508,charlotte_sutton1,biota-of-university-of-auckland-city-campus,274540165,https://www.inaturalist.org/observations/274540165
UoA City Campus,Pholcus phalangioides,Long-bodied Cellar Spider,False,True,False,Arachnida,2025-04-28,research,-36.85122,174.7689216667,jsimons,biota-of-university-of-auckland-city-campus,275282515,https://www.inaturalist.org/observations/275282515
UoA City Campus,Pyrrosia eleagnifolia,Leather-leaf fern,True,False,False,Plantae,2025-04-28,research,-36.8509166667,174.768875,jsimons,biota-of-university-of-auckland-city-campus,275285446,https://www.inaturalist.org/observations/275285446
UoA City Campus,Piper excelsum,Kawakawa,True,False,False,Plantae,2025-04-28,research,-36.8507583333,174.7691633333,jsimons,biota-of-university-of-auckland-city-campus,275286916,https://www.inaturalist.org/observations/275286916
UoA City Campus,Cymbalaria muralis,Ivy-leaved toadflax,False,True,False,Plantae,2025-04-28,research,-36.8510166667,174.7695,jsimons,biota-of-university-of-auckland-city-campus,275287552,https://www.inaturalist.org/observations/275287552
UoA City Campus,Pyrrosia eleagnifolia,Leather-leaf fern,True,False,False,Plantae,2025-04-28,research,-36.8513616667,174.7698666667,jsimons,biota-of-university-of-auckland-city-campus,275289332,https://www.inaturalist.org/observations/275289332
UoA City Campus,Euphorbia peplus,Petty Spurge,False,True,False,Plantae,2025-04-28,research,-36.8506666667,174.769395,jsimons,biota-of-university-of-auckland-city-campus,275293446,https://www.inaturalist.org/observations/275293446
UoA City Campus,Pteris tremula,Shaking Brake,True,False,False,Plantae,2025-04-28,research,-36.85057,174.7698533333,jsimons,biota-of-university-of-auckland-city-campus,275293846,https://www.inaturalist.org/observations/275293846
UoA City Campus,Hydrocotyle moschata,Hairy Pennywort,True,False,False,Plantae,2025-04-28,research,-36.850595,174.7698666667,jsimons,biota-of-university-of-auckland-city-campus,275294217,https://www.inaturalist.org/observations/275294217
UoA City Campus,Oxalis latifolia,Garden pink-sorrel,False,True,False,Plantae,2025-04-28,research,-36.8509466667,174.7707216667,jsimons,biota-of-university-of-auckland-city-campus,275299595,https://www.inaturalist.org/observations/275299595
UoA City Campus,Amanita muscaria,Fly Agaric,False,True,False,Fungi,2025-05-01,research,-36.8538263391,174.7691325098,dylanramdin,biota-of-university-of-auckland-city-campus,277514689,https://www.inaturalist.org/observations/277514689
UoA City Campus,Cruentomycena viscidocruenta,ruby bonnet,False,True,False,Fungi,2025-05-01,research,-36.8499061704,174.771514982,dylanramdin,biota-of-university-of-auckland-city-campus,277547854,https://www.inaturalist.org/observations/277547854
UoA City Campus,Leucocoprinus cepistipes,onion-stalk parasol,False,True,False,Fungi,2025-05-01,research,-36.8499617066,174.7716893256,dylanramdin,biota-of-university-of-auckland-city-campus,277891680,https://www.inaturalist.org/observations/277891680
UoA City Campus,Abortiporus biennis,Blushing Rosette,False,True,False,Fungi,2025-05-02,research,-36.8498382236,174.7712166978,ecotechy,biota-of-university-of-auckland-city-campus,277926770,https://www.inaturalist.org/observations/277926770
UoA City Campus,Crucibulum simile,,True,False,False,Fungi,2025-05-02,research,-36.8492718889,174.7708162971,ecotechy,biota-of-university-of-auckland-city-campus,277928410,https://www.inaturalist.org/observations/277928410
UoA City Campus,Auricularia cornea,Ear fungus,True,False,False,Fungi,2025-05-02,research,-36.8495720779,174.7713776298,ecotechy,biota-of-university-of-auckland-city-campus,277928923,https://www.inaturalist.org/observations/277928923
UoA City Campus,Cruentomycena viscidocruenta,ruby bonnet,False,True,False,Fungi,2025-05-02,research,-36.8492715916,174.7701438145,ecotechy,biota-of-university-of-auckland-city-campus,277929494,https://www.inaturalist.org/observations/277929494
UoA City Campus,Campanella tristis,,True,False,False,Fungi,2025-05-01,research,-36.8493921229,174.7701038048,dylanramdin,biota-of-university-of-auckland-city-campus,278001676,https://www.inaturalist.org/observations/278001676
UoA City Campus,Passer domesticus,House Sparrow,False,True,False,Aves,2025-05-05,research,-36.8514246828,174.7693222761,amandah222,biota-of-university-of-auckland-city-campus,278577790,https://www.inaturalist.org/observations/278577790
UoA City Campus,Favolaschia claudopus,orange pore fungus,False,True,False,Fungi,2025-05-05,research,-36.8504660918,174.7694674507,amandah222,biota-of-university-of-auckland-city-campus,278594920,https://www.inaturalist.org/observations/278594920
UoA City Campus,Hedycarya arborea,Pigeonwood,True,False,False,Plantae,2025-05-05,research,-36.8504454335,174.7694852203,amandah222,biota-of-university-of-auckland-city-campus,278595518,https://www.inaturalist.org/observations/278595518
UoA City Campus,Abortiporus biennis,Blushing Rosette,False,True,False,Fungi,2025-05-05,research,-36.8505068717,174.7708886862,dylanramdin,biota-of-university-of-auckland-city-campus,278695142,https://www.inaturalist.org/observations/278695142
UoA City Campus,Abortiporus biennis,Blushing Rosette,False,True,False,Fungi,2025-05-05,research,-36.8498750486,174.7711626068,dylanramdin,biota-of-university-of-auckland-city-campus,278894931,https://www.inaturalist.org/observations/278894931
UoA City Campus,Crucibulum simile,,True,False,False,Fungi,2025-05-06,research,-36.8515883333,174.773225,psathyrella,biota-of-university-of-auckland-city-campus,278915995,https://www.inaturalist.org/observations/278915995
UoA City Campus,Prosthemadera novaeseelandiae novaeseelandiae,New Zealand Tūī,True,False,False,Aves,2025-05-08,research,-36.8510054182,174.7688966786,jsimons,biota-of-university-of-auckland-city-campus,279384467,https://www.inaturalist.org/observations/279384467
UoA City Campus,Badumna longinqua,Grey House Spider,False,True,False,Arachnida,2025-05-08,research,-36.8508441356,174.7712664377,tomasblokker,biota-of-university-of-auckland-city-campus,279401409,https://www.inaturalist.org/observations/279401409
UoA City Campus,Alectryon excelsus,Tītoki,True,False,False,Plantae,2025-05-12,research,-36.85025307,174.7696404532,amandah222,biota-of-university-of-auckland-city-campus,280433169,https://www.inaturalist.org/observations/280433169
